date,precipitacion_cayalti_mm
1977-01-01,7
1977-02-01,20.3
1977-03-01,7.2
1977-04-01,5.1
1977-05-01,2.7
1977-06-01,0.3
1977-07-01,0
1977-08-01,0
1977-09-01,4
1977-10-01,0.8
1977-11-01,1.1
1977-12-01,0
1978-01-01,0.5
1978-02-01,13.7
1978-03-01,17.5
1978-04-01,0.1
1978-05-01,4.5
1978-06-01,0.2
1978-07-01,0.1
1978-08-01,0.1
1978-09-01,2.7
1978-10-01,1.2
1978-11-01,0.2
1978-12-01,1.9
1979-01-01,2.9
1979-02-01,0.8
1979-03-01,12.9
1979-04-01,4.3
1979-05-01,0.5
1979-06-01,0
1979-07-01,0.4
1979-08-01,0.1
1979-09-01,0.2
1979-10-01,0
1979-11-01,0
1979-12-01,0
1980-01-01,0
1980-02-01,2.9
1980-03-01,5.1
1980-04-01,0.3
1980-05-01,0
1980-06-01,0
1980-07-01,0
1980-08-01,0
1980-09-01,0
1980-10-01,3
1980-11-01,5.3
1980-12-01,0
1981-01-01,0
1981-02-01,29.6
1981-03-01,53.7
1981-04-01,0.3
1981-05-01,1.9
1981-06-01,0.7
1981-07-01,0.4
1981-08-01,0
1981-09-01,0
1981-10-01,0.9
1981-11-01,0.7
1981-12-01,0.1
1982-01-01,0
1982-02-01,0
1982-03-01,0
1982-04-01,1.5
1982-05-01,0
1982-06-01,0
1982-07-01,0
1982-08-01,0
1982-09-01,0
1982-10-01,6.7
1982-11-01,3.2
1982-12-01,6.9
1983-01-01,53.1
1983-02-01,35.9
1983-03-01,199.3
1983-04-01,184.6
1983-05-01,66.3
1983-06-01,7.2
1983-07-01,0
1983-08-01,0.6
1983-09-01,1.5
1983-10-01,0.2
1983-11-01,0
1983-12-01,2.1
1984-01-01,2.1
1984-02-01,29.3
1984-03-01,20.9
1984-04-01,0
1984-05-01,2.8
1984-06-01,3.5
1984-07-01,4.3
1984-08-01,0
1984-09-01,0.1
1984-10-01,7.5
1984-11-01,0
1984-12-01,4.2
1985-01-01,0
1985-02-01,0
1985-03-01,9.5
1985-04-01,0
1985-05-01,2
1985-06-01,0.5
1985-07-01,0
1985-08-01,0
1985-09-01,0.1
1985-10-01,1.4
1985-11-01,0
1985-12-01,1
1986-01-01,11.4
1986-02-01,0.1
1986-03-01,2.8
1986-04-01,8.6
1986-05-01,0.5
1986-06-01,0
1986-07-01,0.1
1986-08-01,1.4
1986-09-01,0
1986-10-01,0.3
1986-11-01,3.1
1986-12-01,3.3
1987-01-01,14.5
1987-02-01,23.1
1987-03-01,0.4
1987-04-01,20.5
1987-05-01,0
1987-06-01,0.7
1987-07-01,28
1987-08-01,0
1987-09-01,0
1987-10-01,0.7
1987-11-01,1.3
1987-12-01,0
