date,caudal_puente_bolsico_m3s,volumen_puente_bolsico_mmc,caudal_la_palma_m3s,volumen_la_palma_mmc,caudal_puente_tumbes_m3s,volumen_puente_tumbes_mmc,caudal_matapalo1_m3s,volumen_matapalo1_mmc,caudal_matapalo2_m3s,volumen_matapalo2_mmc,caudal_matapalo3_m3s,volumen_matapalo3_mmc
1960-01-01,0.083,0.223,0.08,0.214,125.431,335.954,,,,,,
1960-02-01,3.267,8.185,3.16,7.918,280.217,702.112,,,,,,
1960-03-01,5.283,14.149,5.28,14.142,291.422,780.545,,,,,,
1960-04-01,0.652,1.691,0.65,1.685,239.937,621.917,,,,,,
1960-05-01,0.19,0.509,0.19,0.509,177.831,476.303,,,,,,
1960-06-01,0.031,0.081,0.0,0.0,90.61,234.861,,,,,,
1960-07-01,0.011,0.03,0.0,0.0,56.372,150.987,,,,,,
1960-08-01,0.0,0.0,0.0,0.0,20.594,55.159,,,,,,
1960-09-01,0.0,0.0,0.0,0.0,13.66,35.407,,,,,,
1960-10-01,0.0,0.0,0.0,0.0,14.601,39.107,,,,,,
1960-11-01,0.0,0.0,0.0,0.0,14.414,37.361,,,,,,
1960-12-01,0.0,0.0,0.0,0.0,15.423,41.309,,,,,,
1961-01-01,0.0,0.0,0.0,0.0,72.91,195.282,,,,,,
1961-02-01,0.166,0.402,0.17,0.411,141.965,343.442,,,,,,
1961-03-01,0.612,1.638,0.61,1.634,132.845,355.812,,,,,,
1961-04-01,0.073,0.188,0.07,0.181,181.521,470.502,,,,,,
1961-05-01,0.178,0.477,0.18,0.482,154.541,413.923,,,,,,
1961-06-01,0.0,0.0,0.0,0.0,107.028,277.417,,,,,,
1961-07-01,0.0,0.0,0.0,0.0,54.889,147.015,,,,,,
1961-08-01,0.0,0.0,0.0,0.0,19.385,51.921,,,,,,
1961-09-01,0.0,0.0,0.0,0.0,15.516,40.217,,,,,,
1961-10-01,0.0,0.0,0.0,0.0,14.042,37.61,,,,,,
1961-11-01,0.0,0.0,0.0,0.0,11.233,29.116,,,,,,
