archivo,variable,es_climatologia,dominio_AAA_propuesto,confianza,apto_fase2_estacionalidad,apto_fase3_enso,metodo,periodo_inicio,periodo_fin,n_meses_datos,cubre_el_nino,n_meses_el_nino,cubre_la_nina,n_meses_la_nina,fuente_clasificacion_enso
acari_caudal_volumen.csv,caudal_volumen,False,CHÁPARRA-CHINCHA,media,True,True,nombre de cuenca (sin verificar coordenadas),1960-08,2005-07,540,True,97,True,145,"indice_1982+,lista_documentada_pre1982"
ancashcosta_caudal_climatologia_multicuenca.csv,caudal_volumen,True,HUARMEY-CHICAMA,media,True,False,nombre de cuenca (sin verificar coordenadas),,,0,False,0,False,0,sin columna date (climatologia u otra estructura)
angostura_caudal_volumen.csv,caudal_volumen,False,PAMPAS-APURIMAC,alta,True,True,"coordenadas (verificado point-in-polygon, aportadas por el usuario)",1965-02,2010-02,362,True,110,True,153,"indice_1982+,lista_documentada_pre1982"
cabanillaslampa_precipitacion_climatologia_multiestacion.csv,precipitacion,True,TITICACA,alta,True,False,nombre de cuenca (sin verificar coordenadas),2000-01,2000-12,12,False,0,True,12,indice_1982+
camana_majes_caudal_volumen.csv,caudal_volumen,False,CAPLINA-OCOÑA,media,True,True,nombre de cuenca (sin verificar coordenadas),1951-08,2004-07,636,True,104,True,176,"indice_1982+,lista_documentada_pre1982"
canete_caudal_volumen.csv,caudal_volumen,False,CAÑETE-FORTALEZA,alta,True,True,coordenadas (verificado point-in-polygon),1964-08,2005-07,492,True,97,True,141,"indice_1982+,lista_documentada_pre1982"
canete_precipitacion.csv,precipitacion,False,CAÑETE-FORTALEZA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1964-08,2005-07,492,True,97,True,141,"indice_1982+,lista_documentada_pre1982"
canete_precipitacion_climatologia.csv,precipitacion,True,CAÑETE-FORTALEZA,alta,True,False,nombre de cuenca (sin verificar coordenadas),,,0,False,0,False,0,sin columna date (climatologia u otra estructura)
caplina_aguascalientes_caudal_volumen.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1950-01,1989-12,443,True,71,True,133,"indice_1982+,lista_documentada_pre1982"
casma_precipitacion_areal.csv,precipitacion,False,HUARMEY-CHICAMA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1966-01,2006-12,492,True,94,True,139,"indice_1982+,lista_documentada_pre1982"
casma_sechin_caudal_volumen.csv,caudal_volumen,False,HUARMEY-CHICAMA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1973-08,2002-07,348,True,64,True,112,"indice_1982+,lista_documentada_pre1982"
